Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.9791e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5167e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.525e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.625e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5167e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.25e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.4916e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.2541e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.075e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 9.792e-6
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5708e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.575e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.6084e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.0666e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5042e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5083e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5958e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.6791e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 2.2542e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.725e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.6792e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5208e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5709e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.4958e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.6083e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.7e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.675e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.6708e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.4917e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5084e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5708e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.4959e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.5375e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 2.05e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 2.2792e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.6708e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.4916e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.525e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.6667e-5
Experiment type: add_task, Data struct: Vec, Task count: 100, Time Elapsed: 1.6291e-5

Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 4.2083e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.25e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2708e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2667e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2333e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2709e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2083e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2541e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2166e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.25e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2708e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2459e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2292e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.3375e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2458e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2458e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.25e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2792e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2417e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.3e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.3166e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.3e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.4375e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 1.3959e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.275e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2833e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2792e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2375e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.1625e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.225e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2667e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2959e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2958e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2375e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.25e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2291e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.2917e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.4125e-5
Experiment type: add_task, Data struct: LinkedList, Task count: 100, Time Elapsed: 2.1959e-5

Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 2.4083e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6583e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6125e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5917e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.575e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5375e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.55e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5458e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5583e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5458e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5167e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5375e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5292e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5583e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6167e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 2e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5791e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5709e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5791e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5625e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.575e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.55e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6167e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5833e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 2.0666e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5959e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.5916e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.575e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6084e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6292e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 2.0917e-5
Experiment type: add_task, Data struct: VecDeque, Task count: 100, Time Elapsed: 1.6125e-5
